group,dipole_total
data_100168,2.5023603
data_100169,2.4376683
data_10017,1.8597395
data_100170,2.334298
data_100171,3.771992
data_100172,2.8768833
data_100173,3.0887487
data_100174,2.6023424
data_100175,2.513634
data_100176,2.710224
data_100177,3.5771074
data_100178,3.2447665
data_100179,1.4037998
data_10018,4.6370835
data_100180,2.0706859
data_100181,2.1362543
data_100182,4.321333
data_100183,3.269153
data_100184,2.5899072
data_100185,0.7919557
data_100186,1.9154658
data_100187,2.091732
data_100188,3.5304198
data_100189,1.0705838
data_10019,3.253057
data_100190,3.1197126
data_100191,2.0853498
data_100192,2.277098
data_100193,2.5715911
data_100194,1.3695217
data_100195,0.15609635
data_100196,4.3762717
data_100197,4.284837
data_100198,2.5665576
data_100199,2.9130785
data_1002,2.3363535
data_10020,4.5372276
data_100200,1.7226235
data_100201,2.0333555
data_100202,3.358844
data_100203,2.3432884
data_100204,2.088566
data_100205,2.2372487
data_100206,3.6072176
data_100207,0.61142385
data_100208,2.9488332
data_100209,2.958131
data_10021,2.9693952
data_100210,2.9432528
data_100211,2.2551966
data_100212,2.9544365
data_100213,2.2821019
data_100214,5.214416
data_100215,0.9149446
data_100216,2.8701067
data_100217,2.293018
data_100218,1.7165052
data_100219,2.649764
data_10022,3.1480145
data_100220,2.9593978
data_100221,0.91216147
data_100222,3.6747553
data_100223,3.329574
data_100224,1.7069312
data_100225,2.055549
data_100226,3.1952446
data_100227,2.127912
data_100228,5.764445
data_100229,4.6262155
data_10023,5.4496174
data_100230,4.3782506
data_100231,0.36091748
data_100232,2.5459557
data_100233,1.0505223
data_100234,1.8238465
data_100235,4.608688
data_100236,2.0015318
data_100237,5.5301275
data_100238,3.9658542
data_100239,1.6094874
data_10024,2.58365
data_100240,2.5161197
data_100241,2.5945938
data_100242,1.3024262
data_100243,1.0934029
data_100244,1.01644
data_100245,4.1488957
data_100246,1.5183578
data_100247,2.3922188
data_100248,1.0940732
data_100249,2.797529
data_10025,3.7666235
data_100250,2.405019
data_100251,3.2700653
data_100252,2.136112
data_100253,2.7913146
data_100254,3.661942
data_100255,2.88779
data_100256,4.9698157
data_100257,1.5911927
data_100258,0.35698643
data_100259,2.0283103
data_10026,5.7776036
data_100260,2.4929278
data_100261,0.8296915
data_100262,1.8979621
data_100263,3.5535474
data_100264,2.5385637
data_100265,2.632123
data_100266,2.7216117
data_100267,2.670012
data_100268,2.1899564
data_100269,2.8755555
data_10027,5.7720213
data_100270,3.866692
data_100271,4.5406303
data_100272,1.1746266
data_100273,4.364338
data_100274,2.2699573
data_100275,1.3321779
data_100276,1.5676224
data_100277,1.9098835
data_100278,5.103688
data_100279,2.1052394
data_10028,4.0091147
data_100280,2.2718668
data_100281,0.63462675
data_100282,3.3518956
data_100283,0.7421569
data_100284,3.305317
data_100285,1.8501357
data_100286,4.9118686
data_100287,0.9373408
data_100288,3.748295
data_100289,2.0000162
data_10029,5.2478404
data_100290,2.9744108
data_100291,2.5138316
data_100292,4.452567
data_100293,0.9829334
data_100294,3.3443747
data_100295,1.8015867
data_100296,2.0409403
data_100297,2.2259517
data_100298,3.0572255
data_100299,1.2352953
data_1003,3.6468284
data_10030,6.354366
data_100300,1.9980187
data_100301,1.1376173
data_100302,2.635936
data_100303,2.3645995
data_100304,3.976006
data_100305,4.860157
data_100306,0.23499872
data_100307,1.9652368
data_100308,2.8898737
data_100309,3.2246363
data_10031,5.125037
data_100310,2.7126472
data_100311,2.104971
data_100312,2.1611083
data_100313,2.5429611
data_100314,2.9944623
data_100315,0.29475114
data_100316,4.0211596
data_100317,4.457342
data_100318,4.516653
data_100319,1.6440514
data_10032,7.2011304
data_100320,2.4236941
data_100321,4.074004
data_100322,1.5237871
data_100323,4.3245735
data_100324,3.04604
data_100325,2.1341343
data_100326,2.2284856
data_100327,3.0658484
data_100328,2.7565978
data_100329,1.7122023
data_10033,5.7291746
data_100330,2.416747
data_100331,3.8670042
data_100332,3.497391
data_100333,1.9237167
data_100334,1.5012555
data_100335,3.5276248
data_100336,2.3953242
data_100337,1.7313441
data_100338,1.454198
data_100339,2.6310108
data_10034,5.8476224
data_100340,2.448496
data_100341,1.1134515
data_100342,3.342153
data_100343,3.105584
data_100344,3.9251604
data_100345,2.4732566
data_100346,2.4914467
data_100347,1.6935407
data_100348,2.4764895
data_100349,2.6858563
data_10035,6.5702934
data_100350,2.0091472
data_100351,1.6968486
data_100352,2.4088445
data_100353,2.926526
data_100354,1.1362336
data_100355,1.5944154
data_100356,0.7522268
data_100357,3.598168
data_100358,5.1551506e-05
data_100359,2.815253
data_10036,4.8569293
data_100360,3.0942364
data_100361,4.398579
data_100362,3.0060492
data_100363,2.0449452
data_100364,5.369504
data_100365,2.1524725
data_100366,1.2823572
data_100367,2.7780874
data_100368,5.011737
data_100369,1.8223288
data_10037,4.9426484
data_100370,0.8662493
data_100371,2.694999
data_100372,4.2144275
data_100373,2.2123103
data_100374,2.5532646
data_100375,3.5430906
data_100376,0.973669
data_100377,4.1135592
data_100378,4.7935023
data_100379,3.1614094
data_10038,4.8707542
data_100380,3.0658045
data_100381,1.6225693
data_100382,2.8787844
data_100383,2.3446186
data_100384,1.5127248
data_100385,3.7167833
data_100386,4.0105243
data_100387,1.8214372
data_100388,3.6877737
data_100389,3.9156194
data_10039,4.8573284
data_100390,5.8210096
data_100391,4.837565
data_100392,0.75881064
data_100393,2.0408773
data_100394,5.511228
data_100395,2.6870747
data_100396,6.684766
data_100397,0.43747562
data_100398,2.6580691
data_100399,2.7265186
data_1004,1.5138683
data_10040,6.044592
data_100400,0.8166731
data_100401,3.5278058
data_100402,2.961315
data_100403,0.48313004
data_100404,1.460477
data_100405,1.8279324
data_100406,2.0550714
data_100407,3.399485
data_100408,1.8812215
data_100409,3.4225595
data_10041,4.937135
data_100410,2.6392472
data_100411,1.706334
data_100412,1.4346927
data_100413,2.418084
data_100414,3.41915
data_100415,2.5812438
data_100416,1.9307201
data_100417,2.769042
data_100418,2.2453678
data_100419,2.0692313
data_10042,6.137135
data_100420,0.3900205
data_100421,2.557679
data_100422,3.2472816
data_100423,0.3368404
data_100424,1.8671198
data_100425,1.2774407
data_100426,2.3727674
data_100427,2.888842
data_100428,2.0742817
data_100429,5.424962
data_10043,5.8652625
data_100430,1.8916354
data_100431,2.6032207
data_100432,2.3277724
data_100433,1.6507019
data_100434,3.8062396
data_100435,0.26899633
data_100436,2.0493484
data_100437,3.888421
data_100438,1.6100795
data_100439,0.94141155
data_10044,5.201202
data_100440,2.5615528
data_100441,3.4328809
data_100442,4.0562534
data_100443,2.455993
data_100444,1.5630051
data_100445,2.9934313
data_100446,2.1151326
data_100447,3.956444
data_100448,2.7067804
data_100449,3.1913126
data_10045,5.498671
data_100450,3.0019147
data_100451,1.9046718
data_100452,3.0713844
data_100453,0.20284376
data_100454,1.8623629
data_100455,1.7088022
data_100456,2.048141
data_100457,2.0584016
data_100458,4.701868
data_100459,2.0787535
data_10046,5.1920905
data_100460,2.9777012
data_100461,3.1335332
data_100462,1.4776211
data_100463,2.4327505
data_100464,2.6572978
data_100465,2.6556652
data_100466,1.6998005
data_100467,3.1713321
data_100468,5.4721303
data_100469,1.9686904
data_10047,7.4786305
data_100470,2.627751
data_100471,2.9466228
data_100472,3.2420216
data_100473,2.4147928
data_100474,2.0705032
data_100475,2.4276588
data_100476,1.744802
data_100477,2.6032448
data_100478,2.1983788
data_100479,0.00011769397
data_10048,2.093807
data_100480,0.76123554
data_100481,3.5290332
data_100482,3.0074522
data_100483,3.461928
data_100484,2.220802
data_100485,0.8526317
data_100486,2.2895217
data_100487,2.662106
data_100488,3.208338
data_100489,2.390738
data_10049,3.8785434
data_100490,3.243196
data_100491,3.1766422
data_100492,2.7052207
data_100493,0.60376024
data_100494,3.6888
data_100495,3.548689
data_100496,1.5434138
data_100497,4.979755
data_100498,0.80880946
data_1005,3.7924957
data_10050,5.094966
data_100500,1.7854315
data_100501,1.4000151
data_100502,1.3998655
data_100503,4.3019905
data_100504,0.7940899
data_100505,2.7257192
data_100506,2.0962334
data_100507,3.41166
data_100508,0.67040473
data_100509,4.0815086
data_10051,5.6664453
data_100510,3.1504045
data_100511,2.7599423
data_100512,1.0230658
data_100513,2.994864
data_100514,2.1033182
data_100515,2.3769946
data_100516,2.1544487
data_100517,1.8955905
data_100518,3.828506
data_100519,2.6164284
data_10052,2.449674
data_100520,2.5473518
data_100521,4.126266
data_100522,5.748969
data_100523,3.8833854
data_100524,3.0419705
data_100525,3.9355445
data_100526,3.3973076
data_100527,2.7209508
data_100528,2.7920942
data_100529,4.2776613
data_10053,2.0145729
data_100530,4.01552
data_100531,0.45427036
data_100532,2.1127787
data_100533,3.9233358
data_100534,2.770355
data_100535,3.7840114
data_100536,4.4662085
data_100537,2.3303423
data_100538,3.4100695
data_100539,4.712689
data_10054,3.5738811
data_100540,1.092984
data_100541,2.279002
data_100542,2.6344004
data_100543,1.5771536
data_100544,0.7893772
data_100545,1.4296025
data_100546,3.9032044
data_100547,3.0345216
data_100548,2.8795667
data_100549,1.3352892
data_10055,2.5170314
data_100550,2.2306206
data_100551,2.5167274
data_100552,3.4889627
data_100553,3.1507154
data_100554,1.9524974
data_100555,3.3717866
data_100556,1.5459684
data_100557,3.099446
data_100558,1.8815458
data_100559,2.41046
data_10056,3.0256011
data_100560,0.68132126
data_100561,3.1924927
data_100562,2.0303564
data_100563,0.37292853
data_100564,1.4843162
data_100565,1.6833168
data_100566,1.1297014
data_100567,2.6133277
data_100568,2.6370108
data_100569,0.056758747
data_10057,4.6568403
data_100570,4.1098795
data_100571,1.1501673
data_100572,2.5497346
data_100573,2.4871008
data_100574,2.9339669
data_100575,1.933319
data_100576,1.7425901
data_100577,2.304355
data_100578,3.3020473
data_100579,1.950197
data_10058,5.2861056
data_100580,2.0011935
data_100581,2.3359048
data_100582,3.7024357
data_100583,2.7801619
data_100584,2.1902149
data_100585,1.0420469
data_100586,3.4861405
data_100587,2.3605697
data_100588,3.6453261
data_100589,2.1402376
data_10059,5.3970094
data_100590,0.965815
data_100591,3.9549668
data_100592,2.6747906
data_100593,1.7876905
data_100594,1.1108078
data_100595,2.7346964
data_100596,3.834407
data_100597,4.3360243
data_100598,3.8214612
data_100599,3.0428305
data_1006,7.220469
data_10060,5.678746
data_100600,2.194253
data_100601,3.724234
data_100602,4.573359
data_100603,2.8708837
data_100604,1.4260567
data_100605,2.751328
data_100606,3.386893
data_100607,2.5333526
data_100608,0.4709282
data_100609,2.2039251
data_10061,4.9898577
data_100610,3.8521287
data_100611,3.644901
data_100612,4.7198844
data_100613,4.496246
data_100614,2.4773943
data_100615,3.3686123
data_100616,1.666226
data_100617,2.3408153
data_100618,2.92223
data_100619,2.2778032
data_10062,4.963185
data_100620,3.1789892
data_100621,2.788887
data_100622,2.9280455
data_100623,2.7822578
data_100624,0.556293
data_100625,3.5873888
data_100626,3.7467008
data_100627,2.2429738
data_100628,2.1259952
data_100629,2.10326
data_10063,4.250067
data_100630,1.7666631
data_100631,2.2947497
data_100632,1.1085554
data_100633,3.08956
data_100634,3.9313743
data_100635,1.8572906
data_100636,2.4600384
data_100637,6.0265145
data_100638,2.7737324
data_100639,3.9336064
data_10064,5.890135
data_100640,1.9834433
data_100641,1.5620064
data_100642,2.8108158
data_100643,1.7898254
data_100644,2.8085287
data_100645,3.7316446
data_100646,3.4227896
data_100647,2.1592321
data_100648,3.346758
data_100649,3.0164926
data_10065,5.729642
data_100650,2.7869925
data_100651,2.0625556
data_100652,1.996911
data_100653,2.4648833
data_100654,3.4579926
data_100655,1.6541587
data_100656,4.0387406
data_100657,2.3949027
data_100658,1.6662469
data_100659,2.7352667
data_10066,5.4542394
data_100660,1.6330957
data_100661,4.558455
data_100662,1.9953628
data_100663,2.7419994
data_100664,1.8494483
data_100665,3.5810182
data_100666,5.0647078
data_100667,2.4137042
data_100668,2.4749599
data_100669,2.1362553
data_10067,5.0393314
data_100670,3.358051
data_100671,2.2839184
data_100672,2.7024891
data_100673,2.8844674
data_100674,3.548315
data_100675,2.4060454
data_100676,2.145615
data_100677,3.8988342
data_100678,3.0298157
data_100679,3.4175262
data_10068,5.012695
data_100680,3.2370293
data_100681,1.6557331
data_100682,2.36319
data_100683,1.1306747
data_100684,1.5459062
data_100685,3.0947175
data_100686,0.9161811
data_100687,3.6460872
data_100688,3.1725779
data_100689,3.6905339
data_10069,5.065113
data_100690,2.995883
data_100691,4.2841964
data_100692,2.4629874
data_100693,2.17686
data_100694,1.9554893
data_100695,2.6605606
data_100696,4.2973247
data_100697,2.3046458
data_100698,2.833749
data_100699,0.83939254
data_1007,4.3343544
data_10070,4.8745418
data_100700,2.6576016
data_100701,5.67871
data_100702,3.0153897
data_100703,2.276469
data_100704,2.8675363
data_100705,3.339677
data_100706,1.5413762
data_100707,1.5176178
data_100708,2.523672
data_100709,3.207432
data_10071,5.175726
data_100710,1.9248202
data_100711,2.6153433
data_100712,3.7836983
data_100713,3.7549472
data_100714,3.6603723
data_100715,2.4589674
data_100716,3.892434
data_100717,1.956006
data_100718,4.5420203
data_100719,3.3951516
data_10072,4.3564367
data_100720,2.2671409
data_100721,1.9338878
data_100722,1.5304015
data_100723,1.3423827
data_100724,2.2503421
data_100725,3.8943074
data_100726,1.6812865
data_100727,1.5944817
data_100728,3.963283
data_100729,0.6907659
data_10073,6.3485365
data_100730,3.0887334
data_100731,2.1387184
data_100732,3.5124896
data_100733,3.3240209
data_100734,3.3964057
data_100735,3.7121694
data_100736,2.2479954
data_100737,1.6488829
data_100738,4.7755876
data_100739,4.7569804
data_10074,3.4523575
data_100740,1.5451225
data_100741,2.4695058
data_100742,1.7663727
data_100743,2.6763594
data_100744,2.4888616
data_100745,2.4207659
data_100746,2.1744125
data_100747,2.2417114
data_100748,0.7437762
data_100749,2.5300624
data_10075,3.2917097
data_100750,4.5082874
data_100751,2.7462046
data_100752,0.7421746
data_100753,1.3562629
data_100754,2.4251513
data_100755,3.3072767
data_100756,2.6897528
data_100757,1.2410338
data_100758,3.3595228
data_100759,3.9854221
data_10076,6.4992857
data_100760,1.6466731
data_100761,3.691444
data_100762,1.7666042
data_100763,3.4548209
data_100764,2.4349577
data_100765,1.7922263
data_100766,2.3349679
data_100767,5.4679585
data_100768,2.3295135
data_100769,3.3917046
data_10077,3.3383265
data_100770,3.8957381
data_100771,0.83014137
data_100772,2.3900807
data_100773,1.1115551
data_100774,2.9238372
data_100775,3.0907257
data_100776,3.2565708
data_100777,2.285812
data_100778,1.7626328
data_100779,2.2667034
data_10078,5.506114
data_100780,2.125863
data_100781,0.8828499
data_100782,3.1358202
data_100783,2.7285597
data_100784,1.6279414
data_100785,2.5576534
data_100786,1.8335714
data_100787,2.8831234
data_100788,3.095326
data_100789,3.9192028
data_10079,6.209447
data_100790,2.8788316
data_100791,1.9743749
data_100792,1.647139
data_100793,2.3366642
data_100794,1.9485072
data_100795,3.407681
data_100796,2.3907082
data_100797,2.2106118
data_100798,2.97725
data_100799,1.8255129
data_1008,3.2096395
data_10080,6.3374953
data_100800,3.0732903
data_100801,2.5480883
data_100802,2.8435857
data_100803,4.969328
data_100804,1.7231374
data_100805,3.4739978
data_100806,2.3024247
data_100807,3.2941582
data_100808,3.5955634
data_100809,6.0221887
data_10081,4.9335494
data_100810,1.7393802
data_100811,3.1154945
data_100812,3.3785026
data_100813,3.976568
data_100814,2.920044
data_100815,3.2565825
data_100816,1.7169242
data_100817,3.758001
data_100818,3.098926
data_100819,2.5252788
data_10082,2.3447342
data_100820,3.1857426
data_100821,1.8406265
data_100822,2.6518617
data_100823,3.9094198
data_100824,4.6977854
data_100825,2.0261416
data_100826,2.1746356
data_100827,1.2410427
data_100828,2.1681035
data_100829,1.7888887
data_10083,4.769646
data_100830,3.3478324
data_100831,1.1006233
data_100832,1.9473805
data_100833,1.733247
data_100834,4.6513124
data_100835,2.6057112
data_100836,4.899062
data_100837,4.160256
data_100838,4.8204966
data_100839,2.7961357
data_10084,5.7994013
data_100840,1.5945182
data_100841,2.2254786
data_100842,2.639716
data_100843,2.6281095
data_100844,4.699346
data_100845,2.417956
data_100846,2.706671
data_100847,4.356992
data_100848,4.120426
data_100849,3.9524217
data_10085,3.0579274
data_100850,1.1106094
data_100851,2.9715543
data_100852,1.6708776
data_100853,5.172569
data_100854,3.263682
data_100855,3.2848883
data_100856,1.7207525
data_100857,1.1266179
data_100858,0.8489227
data_100859,3.9640322
data_10086,5.8575225
data_100860,4.114564
data_100861,2.8765798
data_100862,4.067202
data_100863,5.5653014
data_100864,2.6053212
data_100865,2.7226398
data_100866,2.0776951
data_100867,2.0030556
data_100868,3.4408422
data_100869,3.489965
data_10087,7.0255327
data_100870,1.9595522
data_100871,2.7586086
data_100872,3.9995866
data_100873,0.8193427
data_100874,2.2951488
data_100875,1.3608209
data_100876,4.312372
data_100877,1.7448398
data_100878,3.1735544
data_100879,4.2634478
data_10088,5.440662
data_100880,2.5425835
data_100881,4.933931
data_100882,2.2001262
data_100883,4.7399716
data_100884,0.9211843
data_100885,2.8601484
data_100886,3.6834543
data_100887,4.141608
data_100888,3.8045442
data_100889,3.3397942
data_10089,3.7782059
data_100890,1.0728347
data_100891,1.8729777
data_100892,3.1164224
data_100893,5.05776
data_100894,3.1372032
data_100895,2.684889
data_100896,0.92009425
data_100897,0.5699608
data_100898,1.9250224
data_100899,3.6805494
data_1009,4.2806506
data_10090,5.166962
data_100900,2.220739
data_100901,3.2842367
data_100902,2.5322053
data_100903,1.2132604
data_100904,2.9692373
data_100905,1.5426521
data_100906,3.0661976
data_100907,1.8005085
data_100908,3.5263958
data_100909,2.8810682
data_10091,5.0239296
data_100910,2.4556184
data_100911,3.117557
data_100912,3.0421977
data_100913,2.853555
data_100914,2.5527773
data_100915,0.6849316
data_100916,2.7962956
data_100917,2.8386352
data_100918,3.69042
data_100919,3.1206384
data_10092,5.326524
data_100920,1.4013584
data_100921,1.7452923
data_100922,1.8648628
data_100923,3.6066492
data_100924,0.18911329
data_100925,4.1999073
data_100926,3.378007
data_100927,3.059083
data_100928,1.3665855
data_100929,0.73487496
data_10093,5.8501325
data_100930,1.4480449
data_100931,1.0328383
data_100932,0.80016327
data_100933,1.3787731
data_100934,2.8845432
data_100935,2.7016659
data_100936,0.73294526
data_100937,2.3150964
data_100938,2.7999353
data_100939,3.1707525
data_10094,4.9784904
data_100940,0.33907303
data_100941,2.3021011
data_100942,0.66805416
data_100943,3.659642
data_100944,4.2343507
data_100945,2.7433963
data_100946,2.2879663
data_100947,0.6653741
data_100948,1.6784393
data_100949,3.688826
data_10095,4.9914265
data_100950,2.084215
data_100951,2.0138712
data_100952,2.1054692
data_100953,1.9769799
data_100954,0.9716607
data_100955,1.3741826
data_100956,2.0671623
data_100957,2.2226872
data_100958,1.8988601
data_100959,1.7117298
data_10096,5.979103
data_100960,3.0273778
data_100961,3.6970117
data_100962,2.366793
data_100963,3.3088884
data_100964,2.3580358
data_100965,2.8189716
data_100966,3.1551213
data_100967,1.8926985
data_100968,3.0593247
data_100969,3.2556086
data_10097,5.367038
data_100970,2.799518
data_100971,3.4304056
data_100972,2.9202242
data_100973,1.7850353
data_100974,3.0106914
data_100975,1.9449443
data_100976,2.6503255
data_100977,1.8780507
data_100978,1.9699192
data_100979,1.84794
data_10098,5.752114
data_100980,2.2495916
data_100981,2.0329697
data_100982,3.3708553
data_100983,2.427425
data_100984,2.9744086
data_100985,1.9819785
data_100986,3.2866333
data_100987,3.1450422
data_100988,0.6582873
data_100989,1.6712589
data_10099,4.4846864
data_100990,2.2642274
data_100991,2.2725995
data_100992,2.9854217
data_100993,1.3295323
data_100994,3.8124835
data_100995,3.0636468
data_100996,1.5370158
data_100997,3.0231533
data_100998,2.4287598
data_100999,2.2523
data_101,4.1169868
data_1010,3.6649451
data_10100,6.065603
data_101000,2.2446811
data_101001,3.2609851
data_101002,1.7589831
data_101003,1.8051833
data_101004,1.7802162
data_101005,2.5707693
data_101006,1.8089058
data_101007,1.6648877
data_101008,2.0045798
data_101009,3.2011757
data_10101,5.5379686
data_101010,2.1874697
data_101011,0.8606507
data_101012,4.111336
data_101013,2.4522765
data_101014,0.75095034
data_101015,2.0002139
data_101016,2.4789693
data_101017,0.0018764241
data_101018,3.0017207
data_101019,3.1533308
data_10102,4.542345
data_101020,1.6880726
data_101021,2.198359
data_101022,3.1370146
data_101023,2.587643
data_101024,2.8916044
data_101025,2.0486658
data_101026,3.9629138
data_101027,2.578078
data_101028,3.7006774
data_101029,2.7056599
data_10103,5.1407094
data_101030,3.290245
data_101031,2.6027787
data_101032,2.7163715
data_101033,2.043254
data_101034,3.2426937
data_101035,2.4602525
data_101036,2.8608928
data_101037,2.7182503
data_101038,1.5623617
data_101039,3.3982837
data_10104,4.5395823
data_101040,1.3367095
data_101041,1.9814563
data_101042,1.6326529
data_101043,1.877382
data_101044,2.832897
data_101045,2.1293025
data_101046,1.6277385
data_101047,1.7202898
data_101048,2.100768
data_101049,3.59447
data_10105,5.0998597
data_101050,2.2044125
data_101051,2.3188343
data_101052,2.1805
data_101053,3.71865
data_101054,1.8161149
data_101055,2.2937474
data_101056,2.1329534
data_101057,2.0136387
data_101058,1.947685
data_101059,2.447868
data_10106,4.827955
data_101060,3.2768493
data_101061,2.3820953
data_101062,2.5877512
data_101063,3.936614
data_101064,2.1826656
data_101065,2.8162565
data_101066,2.509612
data_101067,2.3410432
data_101068,2.087119
data_101069,2.2724428
data_10107,4.4835796
data_101070,2.5375478
data_101071,1.8588338
data_101072,2.490067
data_101073,1.8090655
data_101074,3.0082555
data_101075,2.0978992
data_101076,2.2741168
data_101077,2.3573234
data_101078,1.6765841
data_101079,3.7252233
data_10108,4.4464414e-05
data_101080,3.0888474
data_101081,1.7715309
data_101082,3.3191583
data_101083,1.8680189
data_101084,1.7538335
data_101085,3.4155562
data_101086,1.6934088
data_101087,3.1571584
data_101088,2.2631023
data_101089,2.997181
data_10109,4.6909194
data_101090,1.5515239
data_101091,1.2111698
data_101092,2.377793
data_101093,3.532175
data_101094,2.5801616
data_101095,1.3060651
data_101096,2.4361212
data_101097,2.054318
data_101098,3.2725706
data_101099,1.6807297
data_1011,3.2185147
data_10110,4.978477
data_101100,2.1131523
data_101101,2.2421215
data_101102,2.1149814
data_101103,3.607725
data_101104,1.8956063
data_101105,2.4383333
data_101106,2.7525237
data_101107,2.0411038
data_101108,3.2036746
data_101109,0.6773403
data_10111,5.1941886
data_101110,1.2200971
data_101111,2.4051554
data_101112,2.2523284
data_101113,2.9589186
data_101114,2.3501658
data_101115,2.4137866
data_101116,3.9483354
data_101117,2.1514027
data_101118,2.4708254
data_101119,3.174493
data_10112,3.865215
data_101120,1.7589272
data_101121,2.799899
data_101122,1.051961
data_101123,1.4464186
data_101124,1.1819694
data_101125,2.8553178
data_101126,1.6442502
data_101127,1.0012937
data_101128,0.75993073
data_101129,1.5823344
data_10113,1.9658773
data_101130,2.105448
data_101131,0.96204007
data_101132,0.7839864
data_101133,1.3377676
data_101134,0.39701575
data_101135,2.9582667
data_101136,0.5967472
data_101137,4.5800276
data_101138,3.6707387
data_101139,0.9907922
data_10114,3.8387191
data_101140,0.6767246
data_101141,3.7759717
data_101142,2.974135
data_101143,4.2287245
data_101144,4.3519654
data_101145,0.8625519
data_101146,0.6892981
data_101147,0.0
data_101148,0.8258356
data_101149,0.0
data_10115,2.4653053
data_101150,3.889921
data_101151,0.0017567582
data_101152,0.82637006
data_101153,2.0280316
data_101154,0.7809781
data_101155,1.5919377
data_101156,0.5644279
data_101157,3.7100363
data_101158,1.3355042
data_101159,5.3500853
data_10116,1.3952657
data_101160,0.06686502
data_101161,0.88620347
data_101162,1.6731441
data_101163,1.5635725
data_101164,0.9871679
